,ROWHEADER,Test,ODI,T20,IPL,name,Final_Country,Categorey
0,Matches,70,243,78,0,Tamim Iqbal,Bangladesh,Bowling
1,Innings,5,2,0,0,Tamim Iqbal,Bangladesh,Bowling
2,Balls,30,6,0,0,Tamim Iqbal,Bangladesh,Bowling
3,Runs,20,13,0,0,Tamim Iqbal,Bangladesh,Bowling
4,Maidens,0,0,0,0,Tamim Iqbal,Bangladesh,Bowling
5,Wickets,0,0,0,0,Tamim Iqbal,Bangladesh,Bowling
6,Avg,0.0,0.0,0.0,0.0,Tamim Iqbal,Bangladesh,Bowling
7,Eco,4,13,0,0,Tamim Iqbal,Bangladesh,Bowling
8,SR,0.0,0.0,0.0,0.0,Tamim Iqbal,Bangladesh,Bowling
9,BBI,0/1,0/6,-/-,-/-,Tamim Iqbal,Bangladesh,Bowling
10,BBM,0/1,0/6,-/-,-/-,Tamim Iqbal,Bangladesh,Bowling
11,4w,0,0,0,0,Tamim Iqbal,Bangladesh,Bowling
12,5w,0,0,0,0,Tamim Iqbal,Bangladesh,Bowling
13,10w,0,0,0,0,Tamim Iqbal,Bangladesh,Bowling
14,Matches,16,76,87,0,Soumya Sarkar,Bangladesh,Bowling
15,Innings,12,27,28,0,Soumya Sarkar,Bangladesh,Bowling
16,Balls,508,558,288,0,Soumya Sarkar,Bangladesh,Bowling
17,Runs,336,567,451,0,Soumya Sarkar,Bangladesh,Bowling
18,Maidens,3,1,0,0,Soumya Sarkar,Bangladesh,Bowling
19,Wickets,4,16,12,0,Soumya Sarkar,Bangladesh,Bowling
20,Avg,84.0,35.44,37.58,0.0,Soumya Sarkar,Bangladesh,Bowling
21,Eco,3.97,6.1,9.4,0,Soumya Sarkar,Bangladesh,Bowling
22,SR,127.0,34.88,24.0,0.0,Soumya Sarkar,Bangladesh,Bowling
23,BBI,2/68,3/18,2/19,-/-,Soumya Sarkar,Bangladesh,Bowling
24,BBM,2/68,3/18,2/19,-/-,Soumya Sarkar,Bangladesh,Bowling
25,4w,0,0,0,0,Soumya Sarkar,Bangladesh,Bowling
26,5w,0,0,0,0,Soumya Sarkar,Bangladesh,Bowling
27,10w,0,0,0,0,Soumya Sarkar,Bangladesh,Bowling
28,Matches,11,66,48,0,Sabbir Rahman,Bangladesh,Bowling
29,Innings,7,21,9,0,Sabbir Rahman,Bangladesh,Bowling
30,Balls,144,306,73,0,Sabbir Rahman,Bangladesh,Bowling
31,Runs,98,345,79,0,Sabbir Rahman,Bangladesh,Bowling
32,Maidens,1,0,0,0,Sabbir Rahman,Bangladesh,Bowling
33,Wickets,0,3,6,0,Sabbir Rahman,Bangladesh,Bowling
34,Avg,0.0,115.0,13.17,0.0,Sabbir Rahman,Bangladesh,Bowling
35,Eco,4.08,6.76,6.49,0,Sabbir Rahman,Bangladesh,Bowling
36,SR,0.0,102.0,12.17,0.0,Sabbir Rahman,Bangladesh,Bowling
37,BBI,0/9,1/12,3/11,-/-,Sabbir Rahman,Bangladesh,Bowling
38,BBM,0/9,1/12,3/11,-/-,Sabbir Rahman,Bangladesh,Bowling
39,4w,0,0,0,0,Sabbir Rahman,Bangladesh,Bowling
40,5w,0,0,0,0,Sabbir Rahman,Bangladesh,Bowling
41,10w,0,0,0,0,Sabbir Rahman,Bangladesh,Bowling
42,Matches,50,239,141,0,Mahmudullah,Bangladesh,Bowling
43,Innings,66,153,80,0,Mahmudullah,Bangladesh,Bowling
44,Balls,3423,4380,950,0,Mahmudullah,Bangladesh,Bowling
45,Runs,1958,3810,1135,0,Mahmudullah,Bangladesh,Bowling
46,Maidens,56,14,2,0,Mahmudullah,Bangladesh,Bowling
47,Wickets,43,82,41,0,Mahmudullah,Bangladesh,Bowling
48,Avg,45.53,46.46,27.68,0.0,Mahmudullah,Bangladesh,Bowling
49,Eco,3.43,5.22,7.17,0,Mahmudullah,Bangladesh,Bowling
50,SR,79.6,53.41,23.17,0.0,Mahmudullah,Bangladesh,Bowling
51,BBI,5/51,3/4,3/10,-/-,Mahmudullah,Bangladesh,Bowling
52,BBM,8/110,3/4,3/10,-/-,Mahmudullah,Bangladesh,Bowling
53,4w,0,0,0,0,Mahmudullah,Bangladesh,Bowling
54,5w,1,0,0,0,Mahmudullah,Bangladesh,Bowling
55,10w,0,0,0,0,Mahmudullah,Bangladesh,Bowling
56,Matches,71,247,129,71,Shakib Al Hasan,Bangladesh,Bowling
57,Innings,121,241,126,70,Shakib Al Hasan,Bangladesh,Bowling
58,Balls,15675,12575,2745,1484,Shakib Al Hasan,Bangladesh,Bowling
59,Runs,7803,9360,3116,1839,Shakib Al Hasan,Bangladesh,Bowling
60,Maidens,487,102,3,1,Shakib Al Hasan,Bangladesh,Bowling
61,Wickets,246,317,149,63,Shakib Al Hasan,Bangladesh,Bowling
62,Avg,31.72,29.53,20.91,29.19,Shakib Al Hasan,Bangladesh,Bowling
63,Eco,2.99,4.47,6.81,7.44,Shakib Al Hasan,Bangladesh,Bowling
64,SR,63.72,39.67,18.42,23.56,Shakib Al Hasan,Bangladesh,Bowling
65,BBI,7/36,5/29,5/20,3/17,Shakib Al Hasan,Bangladesh,Bowling
66,BBM,10/124,5/29,5/20,3/17,Shakib Al Hasan,Bangladesh,Bowling
67,4w,11,10,6,0,Shakib Al Hasan,Bangladesh,Bowling
